# Generated by scripts/taiwan_readings.py from McBopomofo (MIT).
# Words the substituter arbitrates boundaries against; see readings.py.
# word	corpus occurrences
一一	762
一万	749
一丈	7
一下	4410
一不	93
一世	297
一丙	1
一丝	88
一丝不茍	1
一两	332
一个	19451
一串	38
一举	178
一义	6
一买	6
一事	177
一五	155
一些	7597
一产	3
一人	299
一亿	291
一介	8
一仗	2
一付	10
一代	414
一件	666
一任	38
一份	521
一伙	5
一会	379
一似	4
一位	1179
一住	2
一体	176
一例	40
一侧	25
一信	33
一倍	61
一偏	2
一做	18
一停	6
一元	92
一兆	44
一克	3
一党	18
一共	235
一关	36
一兵	1
一具	32
一养	3
一册	21
一再	491
一写	5
一军	21
一冲	2
一准	4
一出	83
一刀	30
一分	205
一切	1866
一划	1
一则	298
一别	5
一到	162
一券	3
一刻	98
一剂	14
一前	8
一副	39
一办	3
一动	85
一包	60
一匙	3
一匹	14
一区	43
一千	1419
一半	861
一卖	4
一卷	10
一厅	5
一压	5
一厢	26
一去	25
一双	93
一发	88
一变	58
一叠	17
一口	295
一句	329
一只	556
一台	567
一叶	17
一号	477
一吋	5
一同	327
一名	482
一吐	7
一向	525
一吨	8
一吨半	1
一听	47
一告	2
一员	44
一周	136
一味	111
一命	17
一和	12
一咬	6
一品	31
一哄而散	6
一哥	10
一喊	2
一喝	10
一回	242
一团	99
一国	199
一圆	16
一圈	65
一在	26
一地	88
一场	920
一块	669
一垒	53
一堂	91
一堆	520
一壁	2
一声	191
一壶	3
一处	112
一夕	31
一夕之间	14
一夕之间暴红	1
一夕成名	1
一多	5
一夜	73
一天	1333
一夫	20
一头	125
一奖	5
一套	506
一好	7
一如	128
一字	78
一字不识	4
一字之差	1
一存	2
一季	76
一学	66
一学期	16
一定	5651
一宝	4
一客	8
一家	915
一宿	7
一寸	6
一对	191
一封	98
一将	11
一尊	15
一小	199
一尺	12
一尽棉薄	1
一局	35
一层	202
一届	313
一展长才	2
一山	6
一岁	92
一己	28
一巷	9
一帆风顺	16
一带	385
一帧	1
一席	76
一帮	9
一幅	82
一幕	69
一幢	17
一干	8
一年	2559
一年期	10
一并	189
一应	28
一度	398
一座	326
一开	629
一式	2
一张	754
一弹	3
一当	8
一往	14
一律	225
一得	5
一心	129
一忠	1
一念	10
一怒	2
一总	10
一息尚存	2
一想	67
一意	50
一愣	8
一成	142
一战	77
一截	14
一户	26
一房	2
一所	135
一扇	35
一手	178
一打	42
一扫	22
一扯	3
一批	200
一技	48
一把	203
一报	17
一披	1
一抬	4
一抱	1
一抹	5
一拉	9
一拍	27
一招	33
一拜	6
一拥而上	11
一拨	4
一拳	5
一挂	6
一按	9
一挥	6
一排	66
一探究竟	14
一推	18
一掷千金	2
一提	80
一摇	6
一摸	5
一播	3
一撮	5
一支	260
一改	32
一放	25
一数	35
一敷	1
一文	77
一斤	22
一新	85
一方	1454
一旁	84
一旅	1
一无	154
一日	1153
一旦	909
一早	119
一旬	2
一时	909
一星	36
一星期	21
一昧	15
一是	210
一昼	1
一晃	11
一晚	53
一智	11
一曲	27
一月	1257
一有	61
一服	3
一朝	22
一期	214
一期稻作	26
一本	649
一朵	55
一杆	3
一村	1
一束	18
一条	658
一来	330
一杯	94
一板	2
一枚	44
一枝	51
一枪	8
一架	61
一柜	1
一栋	82
一株	25
一样	6039
一根	119
一格	80
一桌	21
一档	19
一桩	24
一桶	17
一梯	10
一棒	17
一棵	87
一楼	180
一概	65
一次	3041
一正	6
一步	1675
一死	42
一段	969
一比	51
一毛	40
一毫	16
一民	7
一气	41
一氧	21
一池	8
一泊二食	1
一泡	3
一波	278
一波三折	10
一波又起	5
一波数折	2
一波未平	5
一洗	5
一洞	1
一派	50
一流	176
一测	2
一清	34
一滑	3
一滴	75
一炮	20
一点	4493
一片	499
一版	58
一物	17
一状	7
一环	70
一班	119
一球	37
一瓣	9
一瓶	61
一生	676
一用	13
一甲	10
一男	12
一画	16
一番	164
一病	5
一百	2984
一盏	15
一盒	22
一盖	4
一盘	30
一直	4343
一看	189
