# Generated by scripts/taiwan_readings.py from McBopomofo (MIT).
# word	stand-in	Taiwan reading	mainland reading
一丝不茍	一丝不狗	yi1 si1 bu4 gou3	yi1 si1 bu4 ji4
一匹	一批	yi1 pi1	yi4 pi3
一吨	一顿	yi1 dun4	yi1 dun1
一吨半	一顿半	yi1 dun4 ban4	yi1 dun1 ban4
一哄而散	一轰而散	yi1 hong1 er2 san4	yi1 hong4 er2 san4
一夕	一系	yi1 xi4	yi1 xi1
一夕之间	一系之间	yi1 xi4 zhi1 jian1	yi4 xi1 zhi1 jian1
一夕之间暴红	一系之间暴红	yi1 xi4 zhi1 jian1 bao4 hong2	yi4 xi1 zhi1 jian1 bao4 hong2
一夕成名	一系成名	yi1 xi4 cheng2 ming2	yi1 xi1 cheng2 ming2
一字不识	一字不是	yi1 zi4 bu2 shi4	yi1 zi4 bu4 shi2
一字之差	一字之插	yi1 zi4 zhi1 cha1	yi1 zi4 zhi1 cha4
一学期	一学其	yi1 xue2 qi2	yi1 xue2 qi1
一尽棉薄	一进棉博	yi1 jin4 mian2 bo2	yi1 jin3 mian2 bao2
一展长才	一展常才	yi1 zhan3 chang2 cai2	yi1 zhan3 zhang3 cai2
一帆风顺	一繁风顺	yi1 fan2 feng1 shun4	yi1 fan1 feng1 shun4
一帧	一政	yi1 zheng4	yi1 zhen1
一年期	一年其	yi1 nian2 qi2	yi1 nian2 qi1
一弹	一谈	yi1 tan2	yi1 dan4
一息尚存	一习尚存	yi1 xi2 shang4 cun2	yi1 xi1 shang4 cun2
一拥而上	一永而上	yi1 yong3 er2 shang4	yi1 yong1 er2 shang4
一探究竟	一探就竟	yi1 tan4 jiu4 jing4	yi1 tan4 jiu1 jing4
一掷千金	一直千金	yi1 zhi2 qian1 jin1	yi1 zhi4 qian1 jin1
一撮	一磋	yi1 cuo1	yi1 zuo3
一星期	一星其	yi1 xing1 qi2	yi1 xing1 qi1
一曲	一取	yi1 qu3	yi1 qu1
一期	一其	yi1 qi2	yi1 qi1
一期稻作	一其稻作	yi1 qi2 dao4 zuo4	yi1 qi1 dao4 zuo4
一杆	一感	yi1 gan3	yi1 gan1
一档	一党	yi1 dang3	yi1 dang4
一泊二食	一博二食	yi1 bo2 er4 shi2	yi1 po1 er4 shi2
一波	一坡	yi1 po1	yi1 bo1
一波三折	一坡三折	yi1 po1 san1 zhe2	yi1 bo1 san1 zhe2
一波又起	一坡又起	yi1 po1 you4 qi3	yi1 bo1 you4 qi3
一波数折	一坡数折	yi1 po1 shu4 zhe2	yi1 bo1 shu4 zhe2
一波未平	一坡未平	yi1 po1 wei4 ping2	yi1 bo1 wei4 ping2
一睹为快	一睹维快	yi1 du3 wei2 kuai4	yi1 du3 wei4 kuai4
一窥究竟	一窥就竟	yi1 kui1 jiu4 jing4	yi1 kui1 jiu1 jing4
一腔热血	一腔热写	yi1 qiang1 re4 xie3	yi1 qiang1 re4 xue4
一臂	一被	yi1 bei4	yi1 bi4
一臂之力	一被之力	yi1 bei4 zhi1 li4	yi1 bi4 zhi1 li4
一般常识	一般常是	yi1 ban1 chang2 shi4	yi4 ban1 chang2 shi2
一般见识	一般见是	yi1 ban1 jian4 shi4	yi1 ban1 jian4 shi2
一艘	一骚	yi1 sao1	yi1 sou1
一艘船	一骚船	yi1 sao1 chuan2	yi4 sou1 chuan2
一语道尽	一语道进	yi1 yu3 dao4 jin4	yi1 yu3 dao4 jin3
一跌	一碟	yi1 die2	yi1 die1
一蹴而几	一蹴而机	yi1 cu4 er2 ji1	yi1 cu4 er2 ji3
一重	一虫	yi1 chong2	yi1 zhong4
一长	一常	yi1 chang2	yi1 zhang3
一饮而尽	一饮而进	yi1 yin3 er2 jin4	yi1 yin3 er2 jin3
一骨碌	一古碌	yi1 gu3 lu4	yi1 gu1 lu4
七匹狼	七批狼	qi1 pi1 lang2	qi1 pi3 lang2
七只	七之	qi1 zhi1	qi1 zhi3
七夕	七系	qi1 xi4	qi1 xi1
